Rank,Player,type,action,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3PM,REB,AST,STL,BLK,PTS
130,Ja MorantOMemPG,,,36.2,10.8/22.5,0.478,6.5/8.6,0.756,1.7,6.4,8.4,1.2,0.4,29.7
131,Kevin DurantOPhxPF,,,36.5,9.8/18.8,0.524,4.8/5.6,0.859,2.2,6.5,5.0,0.9,1.2,26.7
132,"Devin BookerOPhxPG, SG",,,36.6,10.0/20.3,0.491,6.3/7.1,0.883,2.4,4.6,6.5,0.9,0.4,28.6
133,"Tyrese MaxeyOPhiPG, SG",,,36.6,8.8/19.4,0.452,4.4/5.1,0.866,2.9,3.6,5.9,1.0,0.4,24.9
134,Nikola VucevicChiC,,,34.1,7.6/15.5,0.49,1.4/1.7,0.82,1.3,10.7,3.3,0.7,0.8,17.9
135,"Bam AdebayoMiaC, PF",,,34.9,7.8/14.7,0.528,4.3/5.6,0.764,0.2,10.4,3.8,1.2,1.2,20.0
136,Alperen SengunHouC,,,33.7,8.0/15.0,0.536,3.8/5.5,0.697,0.5,9.8,4.9,1.2,0.9,20.4
137,"Evan MobleyDTDClePF, C",,,32.0,6.4/11.4,0.563,2.5/3.6,0.698,0.4,9.1,3.0,0.9,1.5,15.7
138,"Brandon MillerOChaSF, SG",,,34.0,7.8/17.2,0.451,2.4/2.9,0.835,3.2,4.5,2.5,0.9,0.6,21.2
139,"Paul GeorgeOPhiSF, PF",,,33.1,7.7/16.6,0.466,3.7/4.1,0.895,3.1,5.3,3.8,1.5,0.5,22.2
140,Fred VanVleetHouPG,,,32.9,5.4/13.1,0.409,2.6/3.0,0.869,2.8,3.5,6.9,1.3,0.4,16.1
141,"Jaylen BrownBosSF, SG",,,34.0,9.2/18.5,0.495,3.2/4.5,0.721,2.2,5.8,3.5,1.2,0.5,23.8
142,"Kristaps PorzingisDTDBosC, PF",,,30.3,7.0/13.9,0.506,4.8/5.6,0.855,1.9,7.5,2.2,0.8,1.8,20.8
143,Brook LopezMilC,,,29.7,4.9/9.8,0.496,1.5/1.8,0.808,1.8,5.4,1.5,0.5,2.3,13.0
144,Jamal MurrayDenPG,,,32.3,7.9/16.7,0.473,2.7/3.2,0.846,2.5,4.1,6.5,1.0,0.5,21.0
145,"Dejounte MurrayONOSG, PG",,,33.6,7.6/16.6,0.46,2.1/2.6,0.798,2.1,5.2,6.2,1.4,0.3,19.4
146,Rudy GobertMinC,,,33.2,5.3/8.0,0.666,3.4/5.2,0.644,0.0,12.8,1.3,0.7,2.0,14.0
147,"Paolo BancheroOrlPF, SF",,,35.9,8.5/18.7,0.457,5.8/7.9,0.737,1.7,7.1,5.3,0.9,0.8,24.6
148,Darius GarlandOClePG,,,34.1,7.0/15.4,0.452,3.0/3.5,0.847,2.4,2.7,7.1,1.3,0.1,19.3
149,Joel EmbiidOPhiC,,,34.4,11.3/21.3,0.53,10.2/11.8,0.866,1.3,11.0,5.1,1.1,1.7,34.1
150,"Desmond BaneMemSG, SF",,,34.9,8.6/18.3,0.467,3.2/3.7,0.878,3.3,4.8,5.1,1.1,0.5,23.7
151,"Kentavious Caldwell-PopeOrlSG, SF",,,31.4,3.7/8.1,0.456,1.4/1.6,0.877,1.7,2.6,2.4,1.3,0.5,10.5
152,"Collin SextonUtahSG, PG",,,27.3,6.6/13.6,0.488,4.2/4.9,0.857,1.6,2.7,5.0,0.8,0.2,19.1
153,Bobby PortisMilPF,,,26.0,5.9/11.7,0.503,1.3/1.6,0.786,1.4,8.2,1.3,0.8,0.4,14.4
154,Payton PritchardBosPG,,,21.6,3.5/7.6,0.465,0.6/0.7,0.818,1.8,3.1,3.3,0.5,0.1,9.4
155,Jonathan KumingaGSPF,,,29.6,6.6/12.6,0.528,3.1/4.3,0.733,0.9,5.3,2.4,0.8,0.8,17.3
156,"Scotty Pippen Jr.MemPG, SG",,,21.3,4.0/8.2,0.49,1.7/2.3,0.734,1.2,2.7,3.9,1.5,0.4,10.9
157,Scoot HendersonOPorPG,,,31.8,6.2/15.3,0.404,3.4/4.1,0.826,1.7,3.5,6.1,0.9,0.2,17.4
158,"Malcolm BrogdonOWshPG, SG",,,31.9,6.4/13.9,0.458,3.1/3.6,0.85,2.2,4.8,5.3,0.8,0.3,18.0
159,"Bennedict MathurinIndSF, SG",,,30.3,5.8/13.1,0.445,3.9/4.7,0.824,1.5,4.6,2.2,0.7,0.4,17.1
160,"Shaedon SharpeOPorSG, SF",,,34.4,5.7/13.9,0.412,3.0/3.7,0.82,1.9,5.1,2.9,0.9,0.4,16.4
161,"Zaccharie RisacherAtlSF, PF",,,29.6,5.3/11.9,0.442,1.6/1.9,0.82,0.4,4.9,2.3,0.9,0.7,12.5
162,"Dorian Finney-SmithLALPF, SF",,,29.3,3.2/7.6,0.422,0.6/0.8,0.719,1.8,4.7,1.6,0.9,0.5,8.8
163,"Max StrusCleSF, SG",,,31.1,4.3/10.3,0.419,1.1/1.3,0.812,2.5,4.4,3.4,0.8,0.3,12.2
164,Goga BitadzeOrlC,,,14.9,2.0/3.5,0.584,0.9/1.4,0.653,0.1,4.4,1.2,0.5,1.1,5.1
165,Onyeka OkongwuAtlC,,,25.8,4.2/6.7,0.623,1.8/2.3,0.78,0.3,7.2,1.3,0.6,1.2,10.4
166,Cody MartinPhxSG,,,26.4,2.9/7.1,0.403,0.8/1.3,0.634,0.9,3.9,3.3,1.1,0.6,7.4
167,"Isaiah StewartODetC, PF",,,29.6,3.9/8.2,0.481,1.5/2.0,0.746,1.3,7.2,1.5,0.4,0.8,10.6
168,"Jordan ClarksonOUtahSG, SF",,,30.9,6.3/15.1,0.416,3.2/3.7,0.873,1.8,3.5,4.9,0.6,0.1,17.6
169,"Ben SimmonsLACPG, PF",,,25.2,3.0/5.3,0.569,0.5/1.2,0.426,0.0,7.0,5.9,1.1,0.6,6.6
170,"Rui HachimuraLALPF, SF",,,27.1,5.3/10.1,0.529,1.5/2.0,0.736,1.4,4.5,1.2,0.6,0.4,13.6
171,"Jaime Jaquez Jr.MiaSF, SG",,,32.0,5.9/12.0,0.493,2.7/3.3,0.824,1.3,4.3,3.0,1.2,0.6,15.8
172,Patrick WilliamsChiPF,,,30.6,4.2/9.3,0.446,1.3/1.7,0.795,1.5,4.3,1.7,1.0,0.9,11.2
173,"Kevin HuerterChiSG, SF",,,25.3,4.2/9.2,0.453,0.7/0.9,0.762,2.0,3.4,2.6,0.8,0.3,11.1
174,Jaden McDanielsMinSF,,,30.3,4.4/9.0,0.493,0.9/1.3,0.726,1.3,3.5,1.5,0.9,0.7,11.1
175,Grant WilliamsOChaPF,,,30.4,3.8/8.2,0.458,1.5/1.9,0.774,1.8,4.7,2.3,0.6,0.6,10.8
176,Yves MissiONOC,,,21.9,3.3/6.9,0.482,1.5/2.3,0.673,0.0,5.3,1.1,0.3,1.5,8.2
177,"De'Andre HunterDTDCleSF, PF",,,27.3,4.9/10.6,0.458,2.5/3.0,0.836,1.7,3.6,1.3,0.6,0.3,13.9
179,Wendell Carter Jr.OrlC,,,26.9,4.6/8.7,0.525,1.9/2.7,0.701,1.2,7.7,2.0,0.6,0.5,12.3
180,"Keldon JohnsonSASF, PF",,,29.8,5.8/12.8,0.454,2.6/3.3,0.788,1.9,5.5,2.8,0.7,0.4,16.1
181,"Brandin PodziemskiGSSG, PG",,,29.3,4.1/8.9,0.466,0.8/1.2,0.656,1.4,6.4,4.1,0.9,0.4,10.5
182,"Gradey DickOTorSG, SF",,,29.1,4.4/10.2,0.436,1.0/1.2,0.869,2.1,3.0,1.6,0.8,0.0,12.0
183,"Trayce Jackson-DavisGSPF, C",,,24.7,5.2/7.2,0.72,1.7/2.9,0.569,0.0,7.4,1.8,0.6,1.7,12.0
184,Jonathan IsaacOrlPF,,,15.6,2.5/4.9,0.505,1.0/1.4,0.718,0.7,4.5,0.5,0.8,1.2,6.7
185,"Vince Williams Jr.MemSG, PG",,,26.6,3.1/7.1,0.439,1.8/2.3,0.803,1.4,5.3,3.2,0.9,0.6,9.5
186,"Christian BraunDenSG, SF",,,22.0,2.9/6.2,0.468,1.1/1.6,0.68,0.8,3.9,1.6,0.6,0.4,7.7
188,Julian ChampagnieSASF,,,19.8,2.3/5.6,0.415,1.0/1.2,0.819,1.4,2.9,1.3,0.6,0.5,7.0
189,Malik BeasleyDetSG,,,23.7,3.5/8.2,0.426,0.4/0.5,0.725,2.4,3.0,1.2,0.6,0.1,9.7
190,Gary Trent Jr.MilSG,,,29.5,5.4/12.7,0.426,1.5/1.8,0.81,2.6,2.6,1.7,1.2,0.3,14.8
191,Cason WallaceOKCSG,,,20.7,2.6/5.4,0.483,0.4/0.5,0.789,1.2,2.3,1.5,0.9,0.5,6.8
192,"Matisse ThybullePorSF, SG",,,22.8,2.0/4.8,0.414,0.4/0.5,0.735,1.1,2.2,1.3,1.7,0.8,5.5
193,Andre DrummondOPhiC,,,19.5,3.8/6.7,0.564,1.7/3.0,0.579,0.0,10.1,0.7,1.1,0.7,9.3
194,"Dalton KnechtLALSG, SF",,,21.6,3.9/9.2,0.422,2.0/2.4,0.821,1.6,3.8,1.6,1.0,0.5,11.3
195,Steven AdamsHouC,,,22.7,2.5/4.5,0.552,1.2/2.3,0.518,0.0,8.8,2.8,0.7,0.7,6.2
